light ,temperature ,humidity ,comfortable
   49 ,      29.55 ,   48.3  ,          1
   48 ,      29.54 ,   48.3  ,          1
   48 ,      29.55 ,   48.3  ,          1
   47 ,      29.55 ,   48.3  ,          1
   47 ,      29.54 ,   48.3  ,          1
   46 ,      29.54 ,   48.3  ,          1
   46 ,      29.55 ,   48.3  ,          1
   47 ,      29.54 ,   48.3  ,          1
   47 ,      29.54 ,   48.3  ,          1
   47 ,      29.54 ,   48.3  ,          1
   47 ,      29.54 ,   48.3  ,          1
   46 ,      29.55 ,   48.3  ,          1
   46 ,      29.54 ,   48.3  ,          1
   47 ,      29.54 ,   48.3  ,          1
   47 ,      29.54 ,   48.28 ,          1
   47 ,      29.54 ,   48.28 ,          1
   47 ,      29.55 ,   48.28 ,          1
   46 ,      29.54 ,   48.28 ,          1
   46 ,      29.55 ,   48.28 ,          1
   46 ,      29.54 ,   48.28 ,          1
   46 ,      29.54 ,   48.28 ,          1
   47 ,      29.54 ,   48.28 ,          1
   47 ,      29.55 ,   48.28 ,          1
   46 ,      29.55 ,   48.28 ,          1
   46 ,      29.56 ,   48.27 ,          1
   46 ,      29.55 ,   48.27 ,          1
   46 ,      29.55 ,   48.27 ,          1
   45 ,      29.54 ,   48.27 ,          1
   45 ,      29.55 ,   48.26 ,          1
   47 ,      29.55 ,   48.28 ,          1
   47 ,      29.55 ,   48.28 ,          1
   43 ,      29.55 ,   48.28 ,          1
   43 ,      29.56 ,   48.28 ,          1
   40 ,      29.54 ,   48.28 ,          1
   40 ,      29.55 ,   48.28 ,          1
   38 ,      29.55 ,   48.3  ,          1
   38 ,      29.55 ,   48.3  ,          1
   59 ,      29.55 ,   48.3  ,          1
   59 ,      29.55 ,   48.3  ,          1
   51 ,      29.55 ,   48.34 ,          1
   51 ,      29.55 ,   48.41 ,          1
   40 ,      29.55 ,   48.51 ,          1
   40 ,      29.55 ,   48.59 ,          1
   68 ,      29.54 ,   48.67 ,          1
   68 ,      29.55 ,   48.76 ,          1
   26 ,      29.54 ,   48.78 ,          1
   26 ,      29.54 ,   48.8  ,          1
   49 ,      29.52 ,   48.84 ,          1
   49 ,      29.52 ,   48.9  ,          1
